"","RecordID","SiteID","ID","Count"
"200","RBBP2017818","RBBP","RBBP2017818_F1",1
"201","KENN2017819","KENN","KENN2017819_F1",1
"202","KENN2017819","KENN","KENN2017819_F2",1
"203","RBBP2017821","RBBP","RBBP2017821_F1",1
"204","SJEN2017818","SJEN","SJEN2017818_F1",1
"205","SJEN2017820","SJEN","SJEN2017820_F1",1
"206","FRCR2017819","FRCR","FRCR2017819_F1",1
"207","BB922017722","BB92","BB922017722_F1",1
"208","BB922017722","BB92","BB922017722_F2",1
"209","BB922017722","BB92","BB922017722_F3",1
"210","BB922017723","BB92","BB922017723_F1",2
"211","BB922017723","BB92","BB922017723_F2",1
"212","BB922017819","BB92","BB922017819_F1",1
"213","BB922017819","BB92","BB922017819_F2",2
"214","BB922017819","BB92","BB922017819_F3",2
"215","BB922017820","BB92","BB922017820_F1",1
