"","ID","RecordID","SiteID","counts.cleaned"
"2159","ISVI2014719_W5","ISVI2014719","ISVI",0
"2160","FRCR2014719_W5","FRCR2014719","FRCR",10
"2161","FRCR2014720_W5","FRCR2014720","FRCR",19.4117647058824
"2162","SANM2014719_W5","SANM2014719","SANM",2.66666666666667
"2163","SANM2014720_W5","SANM2014720","SANM",2.66666666666667
"2164","WHIF2014816_W5","WHIF2014816","WHIF",3.57142857142857
"2165","WHIF2014817_W5","WHIF2014817","WHIF",1.33333333333333
"2166","EIDE2014815_W5","EIDE2014815","EIDE",2
"2167","EIDE2014817_W5","EIDE2014817","EIDE",0
"2168","FRCR2014816_W5","FRCR2014816","FRCR",0.8
"2169","SJEN2014816_W5","SJEN2014816","SJEN",350
"2170","FRCR2014817_W5","FRCR2014817","FRCR",3.42857142857143
"2171","SJEN2014817_W5","SJEN2014817","SJEN",230
"2172","BB922014816_W5","BB922014816","BB92",150
"2173","NANO2014815_W5","NANO2014815","NANO",0
"2174","NANO2014816_W5","NANO2014816","NANO",0
"2175","NANO2014817_W5","NANO2014817","NANO",0
"2176","ENBO2014817_W5","ENBO2014817","ENBO",0
"2177","SJEN2014815_W5","SJEN2014815","SJEN",108
"2178","COWC2014817_W5","COWC2014817","COWC",140
"2179","ESQU2014816_W5","ESQU2014816","ESQU",20
"2180","ESQU2014817_W5","ESQU2014817","ESQU",3
"2181","ISVI2014720_W5","ISVI2014720","ISVI",0
"2182","ISVI2014721_W5","ISVI2014721","ISVI",0
"2183","ISVI2014816_W5","ISVI2014816","ISVI",0
"2184","ISVI2014817_W5","ISVI2014817","ISVI",2
"2185","COWC2014818_W5","COWC2014818","COWC",0
"2186","DEEP2014718_W5","DEEP2014718","DEEP",0
"2187","DEEP2014719_W5","DEEP2014719","DEEP",0
"2188","DEEP2014818_W5","DEEP2014818","DEEP",0
"2189","BB722014816_W5","BB722014816","BB72",240
"2190","BB722014817_W5","BB722014817","BB72",0
"2191","PEDD2014816_W5","PEDD2014816","PEDD",0
"2192","PEDD2014817_W5","PEDD2014817","PEDD",0.333333333333333
"2193","CHEM2014815_W5","CHEM2014815","CHEM",130
"2194","CHEM2014818_W5","CHEM2014818","CHEM",174
"2195","BB042014815_W5","BB042014815","BB04",900
"2196","BB042014816_W5","BB042014816","BB04",60
"2197","BB042014817_W5","BB042014817","BB04",0
"2198","DEEP2014816_W5","DEEP2014816","DEEP",20
"2199","DEEP2014817_W5","DEEP2014817","DEEP",1
"2200","MAPL2014816_W5","MAPL2014816","MAPL",0
"2201","MAPL2014817_W5","MAPL2014817","MAPL",5
"2202","COBE2014719_W5","COBE2014719","COBE",0
"2203","COBE2014720_W5","COBE2014720","COBE",0
"2204","COBE2014721_W5","COBE2014721","COBE",0
"2205","COBE2014816_W5","COBE2014816","COBE",0
"2206","COBE2014817_W5","COBE2014817","COBE",0
"2207","COBE2014818_W5","COBE2014818","COBE",0
"2208","WITT2014719_W5","WITT2014719","WITT",1.13953488372093
"2209","WITT2014720_W5","WITT2014720","WITT",46.75
"2210","WITT2014816_W5","WITT2014816","WITT",4.5
"2211","WITT2014817_W5","WITT2014817","WITT",14.6774193548387
"2212","RBBP2014815_W5","RBBP2014815","RBBP",99.4475138121547
